,TAG KEY,PRIORITY,SCOPE,TAG VALUES,DESCRIPTION,BUSINESS VALUE
,env,Critical,global,"dev, stage, QA prod",The environment in which the service or application is running.,"Ensures critical telemetry can be easily identified. Essential for enabling appropriate monitoring, and access control."
,service,Critical,"apm, integrations","auth-server, middleware, api-gateway","Defines the specific service or function being monitored. Should be descriptive, concise and easily understandable.","Important for tracking performance and availability of distinct services, ensuring targeted alerts and diagnostics."
,version,High,apm,"2.1.3, v1.0, 06142ee, etc…",Specifies the version of the application or service being deployed. Can include semantic versioning or specific commit hashes.,"Essential for tracking changes, identifying issues related to specific versions, and ensuring compatibility and compliance with release management practices."
,team,Critical,global,"integrations, sre, devops","Identifies the team responsible for the service or application. Examples include integrations, site reliability engineering (SRE), and DevOps teams.","Helps in assigning responsibility, facilitating communication, and streamlining incident response and resolution processes."
,journey,Critical,"rum, apm","login, checkout, browsing, registration, file_upload, password_reset, order_tracking","Tracks key user journeys across various processes, such as logging in, browsing products, completing checkout, uploading files, resetting passwords, and tracking orders.","Ensures high reliability and performance of critical user flows, improving user experience, reducing churn, and driving revenue by minimizing disruptions."
,runtime,High,Infra,"apache, tomcat, weblogic, etc…","Names the application or software being used. Common examples are web servers and application servers like Apache, Tomcat, and WebLogic.","Provides insight into the technology stack, aiding in configuration management, compatibility checks, and resource allocation."
,role,High,global,"web, app, cache, api, etc…","Describes the role of the service or component within the architecture. Examples include web servers, application servers, caching systems, and APIs.","Important for understanding the function and dependencies of each component, enabling effective monitoring and optimization of the overall system."
,tier,Moderate,global,"0,1,2,3","Indicates the criticality or priority level of the service. Tier 0 typically represents the most critical services, while higher numbers indicate lower criticality.","Essential for prioritizing monitoring efforts, resource allocation, and incident management based on the criticality of the service."
,backup,Moderate,"infra, dbm","bronze, silver, gold","Classifies the backup and recovery strategy for the service. Bronze, Silver, and Gold often represent increasing levels of backup frequency and retention.","Important for ensuring data protection and business continuity, helping to manage risk and meet recovery time objectives (RTO) and recovery point objectives (RPO)."
,platform,Moderate,global,"middleware, ecosystem, common platform, etc…","Specifies the underlying platform or ecosystem on which the service operates. Examples include middleware solutions, broader technology ecosystems, or shared platforms.","Critical for understanding the infrastructure dependencies, facilitating integration, and ensuring compatibility and standardization across services."
,product,Moderate,global,"crm, cms, etc.",Identifies the business product or application domain. Examples include customer relationship management (CRM) systems and content management systems (CMS).,Helps in aligning monitoring and optimization efforts with business objectives and ensuring the performance of key business applications.
,application,Critical,global,"store-platform, payments, ads, etc.","Identifies how services and resources are grouped together into a larger business workload.
Represents the name of the application defined internally by the customer. This could include derivative applications that are part of a larger platform.","Allows grouping, organizing, and filtering of resources relating to a large business application, such as microservices, hosts, and containers. 
This tag enables effective monitoring, performance analysis, and alignment of applications compared with business goals."
,network,Moderate,infra,"dmz, internal, external, etc…","Describes the network segment where the service is running. DMZ (demilitarized zone), internal, and external networks are common examples.","Important for understanding network security considerations, traffic patterns, and potential vulnerabilities, enabling appropriate security measures and monitoring."
,compliance,Low,"infra, dbm","pci-dss, non-pci, sox, fedramp, gdpr, hipaa, etc…","Specifies the compliance standards or regulations applicable to the service. Examples include PCI-DSS (Payment Card Industry Data Security Standard), SOX (Sarbanes-Oxley Act), FedRAMP (Federal Risk and Authorization Management Program), GDPR (General Data Protection Regulation), and HIPAA (Health Insurance Portability and Accountability Act).","Essential for ensuring adherence to regulatory requirements, managing legal and financial risks, and maintaining customer trust and business reputation."
,datatype,Low,dbm,"financial, phii, pii,","Identifies the type of data handled by the service. Examples include financial data, PHI (protected health information), and PII (personally identifiable information).","Critical for data classification, implementing appropriate security controls, and ensuring compliance with data protection regulations and best practices."
,datacenter,Moderate,"infra, dbm, ndm, cnm","fdc, mdc, wdc, etc…"," Specifies the physical data center location where the service or application is hosted. Examples include FDC (Primary Data Center), MDC (Main Data Center), and WDC (West Data Center).","Important for understanding the geographical and physical hosting environment, enabling effective disaster recovery planning, latency management, and compliance with data residency regulations."
,location // site,Moderate,ndm,"location1, location2... // site1, site2...",Choose whichever key value makes the most sense for your organization.,Enables network admins to be able to quickly identify the purpose of the device when troubleshooting in a more user-accessible way.
,role // device_purpose // purpose,Moderate,ndm,bgp-internet-uplink..., Choose whichever key value makes the most sense for your organization.Typically aligned to if-descr or interface_alias.,Enables network admins to be able to quickly identify the purpose of the device when troubleshooting in a more user-accessible way.
,subnet,Moderate,"cnm, ndm, dbm","subnet1, subnet2, subnet3...",Logical subdivision of an ip network.,Makes it easier to quickly identify which subnet the issue is happening within a network -- faster MTTD/MTTR.
